Date,Germany-EUR,Brazil-BRL,Canada-CAD,China-CNY,India-INR,Japan-JPY,Mexico-MXN,USA-USD
2020-01-01,1,4.509417,1.45563,7.811525,79.797425,121.963096,21.218065,1.1218299999999999
2020-02-01,1,4.751138,1.468314,7.695786999999999,79.323176,120.19013799999999,20.905659,1.10943
2020-03-01,1,4.949466999999999,1.4817129999999998,7.726669,79.759766,119.018569,21.909084,1.1050879999999998
2020-04-01,1,5.750017,1.550209,7.7769770000000005,85.00099399999999,117.484297,26.531546999999996,1.0953030000000001
2020-05-01,1,6.087341,1.582211,7.834678,84.154222,118.623218,27.292897999999997,1.10935
2020-06-01,1,5.972211,1.511182,7.9300880000000005,84.270673,119.65726799999999,24.540135,1.112558
2020-07-01,1,5.982945,1.529405,7.955806,84.894563,120.803051,25.555629999999997,1.1251
2020-08-01,1,6.152282,1.579875,8.216791,88.267431,124.678394,26.236712,1.178
2020-09-01,1,6.436914,1.556589,8.141518,87.388625,126.259495,25.930126,1.192286
2020-10-01,1,6.628064,1.560447,7.9750559999999995,86.034318,123.963075,25.658701999999998,1.17446
2020-11-01,1,6.685598,1.556098,7.789567999999999,86.784903,121.74926699999999,24.770576000000002,1.164151
2020-12-01,1,6.285623999999999,1.561488,7.934653999999999,88.941098,125.93158400000002,24.183484,1.207288
